Sort,CASE,DECISION,TARJCASE,COMPANY,PERMNO,COUNTRY,PRODUCT,CERTAIN,DATES,EVENT,NP,ACQ,JV,PE,Semicon,steel92,event_date,event_order
144.0,731095,A,1.0,COLT INDUSTRIES,11332,FRANCE,Stainless Steel Sheet and Strip,1.0,830603,ITCF,na,na,na,na,0.0,0.0,1983-06-03,5.0
145.0,731095,A,1.0,REPUBLIC STEEL,14189,FRANCE,Stainless Steel Sheet and Strip,1.0,830603,ITCF,na,na,na,na,0.0,0.0,1983-06-03,5.0
146.0,731095,A,1.0,ARMCO,17566,FRANCE,Stainless Steel Sheet and Strip,1.0,830603,ITCF,na,na,na,na,0.0,0.0,1983-06-03,5.0
147.0,731095,A,1.0,EASTERN STAINLESS STEEL,18251,FRANCE,Stainless Steel Sheet and Strip,1.0,830603,ITCF,na,na,na,na,0.0,0.0,1983-06-03,5.0
148.0,731095,A,1.0,CYCLOPS CORP,20589,FRANCE,Stainless Steel Sheet and Strip,1.0,830603,ITCF,na,na,na,na,0.0,0.0,1983-06-03,5.0
149.0,731095,A,1.0,CARPENTER TECHNLOGY CORP,20618,FRANCE,Stainless Steel Sheet and Strip,1.0,830603,ITCF,na,na,na,na,0.0,0.0,1983-06-03,5.0
150.0,731095,A,1.0,ALLEGHENY LUDLUM,18817,FRANCE,Stainless Steel Sheet and Strip,1.0,830603,ITCF,na,na,na,na,0.0,0.0,1983-06-03,5.0
151.0,731095,A,1.0,JONES & LAUGHLIN STEEL,21530,FRANCE,Stainless Steel Sheet and Strip,1.0,830603,ITCF,na,na,na,na,0.0,0.0,1983-06-03,5.0
152.0,731095,A,1.0,JESSUP STEEL,45305,FRANCE,Stainless Steel Sheet and Strip,1.0,830603,ITCF,na,na,na,na,0.0,0.0,1983-06-03,5.0
153.0,731095,A,1.0,WASHINGTON STEEL,45727,FRANCE,Stainless Steel Sheet and Strip,1.0,830603,ITCF,na,na,na,na,0.0,0.0,1983-06-03,5.0
164.0,731096,A,0.0,Hercules Inc.,18016,FRANCE,NITROCELLULOSE,1.0,820712,PET,na,na,na,na,0.0,0.0,1982-07-12,1.0
165.0,731096,A,0.0,Hercules Inc.,18016,FRANCE,NITROCELLULOSE,1.0,820813,ITCP,na,na,na,na,0.0,0.0,1982-08-13,2.0
166.0,731096,A,0.0,Hercules Inc.,18016,FRANCE,NITROCELLULOSE,0.0,821223,DOCP,na,na,na,na,0.0,0.0,1982-12-23,3.0
167.0,731096,A,0.0,Hercules Inc.,18016,FRANCE,NITROCELLULOSE,0.0,830513,DOCF,na,na,na,na,0.0,0.0,1983-05-13,4.0
168.0,731096,A,0.0,Hercules Inc.,18016,FRANCE,NITROCELLULOSE,0.0,830803,ITCF,na,na,na,na,0.0,0.0,1983-08-03,5.0
169.0,731100,A,0.0,Carpenter Technology,20618,WEST GERMANY,TOOL STEEL,0.0,820811,PET,na,na,na,na,0.0,0.0,1982-08-11,1.0
170.0,731100,A,0.0,COLT INDUSTRIES INC.,11332,WEST GERMANY,TOOL STEEL,0.0,820811,PET,na,na,na,na,0.0,0.0,1982-08-11,1.0
171.0,731100,A,0.0,CONTINENTAL COPPER & STEEL INDUSTRIES,24600,WEST GERMANY,TOOL STEEL,0.0,820811,PET,na,na,na,na,0.0,0.0,1982-08-11,1.0
172.0,731100,A,0.0,Cyclops Corp,20589,WEST GERMANY,TOOL STEEL,0.0,820811,PET,na,na,na,na,0.0,0.0,1982-08-11,1.0
